#lambda    flux1    flux2    flux3    flux4
4223.18   0.0263   0.0263   0.0061   0.0096
4224.17   0.0261   0.0274   0.0030  -0.0002
4225.15   0.0257   0.0276  -0.0024  -0.0127
4226.14   0.0249   0.0288  -0.0081  -0.0384
4227.13   0.0239   0.0303  -0.0070  -0.0535
4228.12   0.0239   0.0294  -0.0003  -0.0338
4229.10   0.0251   0.0273   0.0072   0.0003
4230.09   0.0263   0.0258   0.0129   0.0287
4231.08   0.0267   0.0249   0.0145   0.0372
4232.07   0.0265   0.0251   0.0106   0.0254
4233.05   0.0257   0.0257   0.0054  -0.0038
4234.04   0.0250   0.0264   0.0007  -0.0209
4235.03   0.0250   0.0269   0.0014  -0.0169
4236.02   0.0254   0.0265   0.0029  -0.0098
4237.01   0.0256   0.0276   0.0017  -0.0021
4238.00   0.0257   0.0269   0.0037   0.0024
4238.99   0.0258   0.0263   0.0032  -0.0033
4239.98   0.0258   0.0271   0.0018  -0.0077
4240.97   0.0260   0.0262   0.0051   0.0014
4241.96   0.0262   0.0249   0.0075   0.0130
4242.95   0.0263   0.0246   0.0096   0.0164
4243.94   0.0263   0.0248   0.0110   0.0180
4244.93   0.0263   0.0253   0.0103   0.0155
4245.92   0.0260   0.0246   0.0056   0.0017
4246.91   0.0252   0.0257   0.0018  -0.0195
4247.90   0.0248   0.0264   0.0020  -0.0263
4248.90   0.0252   0.0254   0.0038  -0.0137
4249.89   0.0254   0.0250   0.0046  -0.0074
4250.88   0.0251   0.0266   0.0019  -0.0166
4251.87   0.0250   0.0271   0.0045  -0.0126
4252.87   0.0256   0.0247   0.0086   0.0050
4253.86   0.0259   0.0244   0.0076   0.0102
4254.85   0.0257   0.0251   0.0089   0.0078
4255.85   0.0258   0.0248   0.0124   0.0116
4256.84   0.0262   0.0244   0.0125   0.0233
4257.83   0.0263   0.0238   0.0107   0.0235
4258.83   0.0261   0.0243   0.0104   0.0106
4259.82   0.0257   0.0255   0.0051  -0.0021
4260.82   0.0253   0.0263   0.0034  -0.0136
4261.81   0.0252   0.0256   0.0062  -0.0088
4262.81   0.0257   0.0239   0.0076   0.0109
4263.80   0.0262   0.0231   0.0108   0.0243
4264.80   0.0264   0.0230   0.0134   0.0277
4265.79   0.0265   0.0230   0.0178   0.0304
